word,translation,part_of_speech,category
Implement,นำไปปฏิบัติ / ทำให้เกิดผล,v.,word
Essential,จำเป็นอย่างยิ่ง,adj.,word
Potential,ที่อาจเกิดขึ้นได้ / ศักยภาพ,adj./n.,word
Resolve,แก้ไข (ปัญหา),v.,word
Thoroughly,อย่างละเอียดถี่ถ้วน,adv.,word
Evidence,หลักฐาน,n.,word
Vague,ไม่ชัดเจน / กำกวม,adj.,word
Estimate,ประมาณการ,v.,word
Challenging,ที่ท้าทาย,adj.,word
Take responsibility,รับผิดชอบ,-,collocation
Meet a requirement,ตรงตามข้อกำหนด,-,collocation
Get used to,เคยชินกับ,-,collocation
Make a living,หาเลี้ยงชีพ,-,collocation
Do your best,ทำให้ดีที่สุด,-,collocation
Break the ice,ทำลายความประหม่า,-,idiom
