word,translation,part_of_speech,category
Adequate,เพียงพอ / เหมาะสม,adj.,word
Allocate,จัดสรร (เงิน/เวลา),v.,word
Anticipate,คาดการณ์ / คาดหวัง,v.,word
Crucial,สำคัญยิ่งยวด / ชี้ขาด,adj.,word
Exhausted,เหนื่อยล้าหมดแรง,adj.,word
Investigate,สืบสวน / ตรวจสอบหาความจริง,v.,word
Persist,ยืนหยัด / พยายามต่อไป,v.,word
Proportion,สัดส่วน,n.,word
Spacious,กว้างขวาง / มีพื้นที่เยอะ,adj.,word
Meet expectations,เป็นไปตามที่คาดหวัง,-,collocation
Draw a conclusion,ได้ข้อสรุป,-,collocation
Heavy traffic,การจราจรติดขัด,-,collocation
Pay a compliment,กล่าวคำชมเชย,-,collocation
Hold a meeting,จัดประชุม,-,collocation
Beat around the bush,พูดอ้อมค้อม,-,idiom
word,translation,part_of_speech,category
Accomplish,ทำสำเร็จ / บรรลุผล,v.,word
Compromise,ประนีประนอม / การพบกันครึ่งทาง,n./v.,word
Mortgage,สินเชื่อบ้าน / การจำนอง,n.,word
Obsolete,ล้าสมัย / เลิกใช้แล้ว,adj.,word
Overwhelm,ทำให้รู้สึกท่วมท้น / รับไม่ไหว,v.,word
Resilient,ยืดหยุ่น / ฟื้นตัวเร็ว,adj.,word
Substitute,สิ่งทดแทน / ตัวแทน,n./v.,word
Tackle,จัดการแก้ปัญหา / รับมือ,v.,word
Versatile,อเนกประสงค์ / ปรับตัวได้หลายรูปแบบ,adj.,word
Reach an agreement,บรรลุข้อตกลง,-,collocation
Play a role,มีบทบาท,-,collocation
Raise awareness,สร้างความตระหนักรู้,-,collocation
Take advantage of,ใช้ประโยชน์จาก,-,collocation
Take the initiative,ริเริ่มลงมือทำ,-,collocation
Bite off more than you can chew,ทำในสิ่งที่เกินความสามารถ,-,idiom
